Fecha,Unidades,NombreFeriado,EsFestivo,DiaSemana,DiaMes,Mes,Predicciones
2013-03-22,1630,,0,4,22,3,1133.2299039713691
2013-03-23,532,,0,5,23,3,339.5585506451553
2013-03-24,0,,0,6,24,3,3.0333508399306304
2013-03-25,0,Día de San José,1,0,25,3,0.0
2013-03-26,953,,0,1,26,3,1004.1585683248126
2013-03-27,1104,,0,2,27,3,1244.7046873993463
2013-03-28,14,Jueves Santo,1,3,28,3,8.273333333333333
2013-03-29,0,Viernes Santo,1,4,29,3,2.64
2013-03-30,2,,0,5,30,3,263.0022222222222
2013-03-31,0,,0,6,31,3,3.735555555555556
2013-04-01,588,,0,0,1,4,722.0711950634387
2013-04-02,995,,0,1,2,4,1003.237787026188
2013-04-03,1165,,0,2,3,4,994.2174333619918
2013-04-04,1262,,0,3,4,4,1092.2480465264134
2013-04-05,1350,,0,4,5,4,1103.9859115120055
2013-04-06,301,,0,5,6,4,255.31369736299249
2013-04-07,34,,0,6,7,4,17.87205860731249
2013-04-08,874,,0,0,8,4,817.0766581083562
2013-04-09,1221,,0,1,9,4,1029.6308008434748
2013-04-10,1204,,0,2,10,4,1141.6384246393195
2013-04-11,1285,,0,3,11,4,1151.725818140468
2013-04-12,1279,,0,4,12,4,1150.6221941917397
2013-04-13,394,,0,5,13,4,305.25698043819693
2013-04-14,16,,0,6,14,4,7.6064845207425815
2013-04-15,781,,0,0,15,4,789.8832557336852
2013-04-16,1174,,0,1,16,4,962.3279136721998
2013-04-17,1153,,0,2,17,4,1097.4668101625455
2013-04-18,1203,,0,3,18,4,1126.351546122365
2013-04-19,1155,,0,4,19,4,1131.2289708692886
2013-04-20,348,,0,5,20,4,289.596081963204
2013-04-21,1,,0,6,21,4,1.3964252403418718
2013-04-22,778,,0,0,22,4,754.7695083345251
2013-04-23,1090,,0,1,23,4,992.6309794551012
2013-04-24,1161,,0,2,24,4,1123.1015541497973
2013-04-25,1392,,0,3,25,4,1171.975474300629
2013-04-26,1433,,0,4,26,4,1252.3934216218192
2013-04-27,411,,0,5,27,4,444.6716666666667
2013-04-28,0,,0,6,28,4,1.846385448049699
2013-04-29,1015,,0,0,29,4,1093.1317666961518
2013-04-30,1570,,0,1,30,4,1570.5966100031985
2013-05-01,19,Día del trabajo,1,2,1,5,2.7466666666666666
2013-05-02,963,,0,3,2,5,979.2310560714217
2013-05-03,1202,,0,4,3,5,1036.1033585809741
2013-05-04,355,,0,5,4,5,272.57346593385523
2013-05-05,5,,0,6,5,5,3.2552680888325627
2013-05-06,343,,0,0,6,5,609.6157298910729
2013-05-07,657,,0,1,7,5,961.5296527847287
2013-05-08,1241,,0,2,8,5,1116.5578427585394
2013-05-09,1428,,0,3,9,5,1145.0254681854337
2013-05-10,1626,,0,4,10,5,1157.34697240674
2013-05-11,271,,0,5,11,5,287.2923374977726
2013-05-12,1,,0,6,12,5,2.3108604236558747
2013-05-13,0,Ascensión de Jesús,1,0,13,5,0.0
2013-05-14,914,,0,1,14,5,986.2565362125428
2013-05-15,1155,,0,2,15,5,1102.569261561325
2013-05-16,1164,,0,3,16,5,1127.1356818736335
2013-05-17,1245,,0,4,17,5,1131.2175437882754
2013-05-18,336,,0,5,18,5,291.02360188485096
2013-05-19,0,,0,6,19,5,1.8909093597460382
